REGION,YEAR,WEEK,%UNWEIGHTED ILI,ILITOTAL
Arkansas,2010,43,0.41365,12
California,2010,43,1.91748,666
Colorado,2010,43,0.909658,175
Connecticut,2010,43,0.333542,16
Delaware,2010,43,0.460494,19
District of Columbia,2010,43,3.11632,101
Florida,2010,43,X,X
Georgia,2010,43,2.38747,881
Hawaii,2010,43,1.57434,27
Idaho,2010,43,1.28007,58
Illinois,2010,43,1.45762,623
Indiana,2010,43,0.581084,76
Iowa,2010,43,0.183225,9
Kansas,2010,43,0.538071,53
Kentucky,2010,43,0.150108,27
Louisiana,2010,43,1.92854,326
Maine,2010,43,0.338409,22
Maryland,2010,43,1.26769,146
Massachusetts,2010,43,0.783721,228
Michigan,2010,43,0.921435,152
Minnesota,2010,43,0.637716,42
Mississippi,2010,43,3.14804,538
Missouri,2010,43,0.959713,91
Montana,2010,43,0.0363901,1
Nebraska,2010,43,2.05761,60
Nevada,2010,43,2.14451,241
New Hampshire,2010,43,0.178795,10
New Jersey,2010,43,2.79286,216
New Mexico,2010,43,2.35498,190
New York,2010,43,0.358981,53
North Carolina,2010,43,0.511163,136
North Dakota,2010,43,0.339239,18
Ohio,2010,43,0.329518,57
Oklahoma,2010,43,1.67073,48
Oregon,2010,43,0.751771,52
Pennsylvania,2010,43,0.72118,133
Rhode Island,2010,43,0.322675,22
South Carolina,2010,43,0.418354,31
South Dakota,2010,43,0.801311,44
Tennessee,2010,43,0.401638,51
Texas,2010,43,2.20655,1117
Utah,2010,43,0.755957,46
Vermont,2010,43,1.44393,47
Virginia,2010,43,1.26902,763
Washington,2010,43,0.95511,30
West Virginia,2010,43,1.81171,173
Wisconsin,2010,43,1.01049,53
Wyoming,2010,43,0.490305,22
New York City,2010,43,1.30236,1207
Alabama,2010,44,2.83371,342
Alaska,2010,44,0.683851,13
Arizona,2010,44,1.18573,312
Arkansas,2010,44,1.09028,57
California,2010,44,2.52326,887
Colorado,2010,44,0.971705,193
Connecticut,2010,44,0.396743,19
Delaware,2010,44,0.222332,9
District of Columbia,2010,44,2.99118,95
Florida,2010,44,X,X
Georgia,2010,44,2.65614,1033
Hawaii,2010,44,1.77398,27
Idaho,2010,44,1.82724,88
Illinois,2010,44,1.4893,625
Indiana,2010,44,0.842254,107
Iowa,2010,44,0.35878,18
Kansas,2010,44,0.481289,49
Kentucky,2010,44,0.289678,38
Louisiana,2010,44,2.80934,492
Maine,2010,44,0.176471,9
Maryland,2010,44,1.45386,147
Massachusetts,2010,44,0.812421,225
Michigan,2010,44,0.863417,138
Minnesota,2010,44,0.805802,50
Mississippi,2010,44,3.3557,550
Missouri,2010,44,1.16768,100
Montana,2010,44,0.0405186,1
Nebraska,2010,44,0.376712,11
Nevada,2010,44,1.76761,204
New Hampshire,2010,44,0.294372,17
New Jersey,2010,44,1.82877,113
New Mexico,2010,44,2.37983,151
New York,2010,44,0.527357,80
North Carolina,2010,44,0.649925,169
North Dakota,2010,44,0.713749,38
Ohio,2010,44,0.831798,149
Oklahoma,2010,44,1.62845,49
Oregon,2010,44,0.764895,57
Pennsylvania,2010,44,0.991455,181
Rhode Island,2010,44,0.530256,34
South Carolina,2010,44,0.44531,32
South Dakota,2010,44,0.779833,43
Tennessee,2010,44,0.528096,64
Texas,2010,44,2.36381,1218
Utah,2010,44,0.651859,54
Vermont,2010,44,1.25276,34
Virginia,2010,44,1.26547,729
Washington,2010,44,0.78637,24
West Virginia,2010,44,1.83986,196
Wisconsin,2010,44,1.09649,60
Wyoming,2010,44,0.566636,25
New York City,2010,44,1.51508,1325
Alabama,2010,45,3.46224,419
Alaska,2010,45,0.951904,19
Arizona,2010,45,0.945337,239
Arkansas,2010,45,1.19736,58
California,2010,45,2.74562,906
Colorado,2010,45,0.719015,139
Connecticut,2010,45,0.319562,14
Delaware,2010,45,0.79466,25
District of Columbia,2010,45,2.32951,69
