YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 5-24,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
2005,27,0.798205,0.841872,426,390,69,1198,533,142302
2005,28,0.757812,0.730894,389,361,75,1148,524,157068
2005,29,0.825963,0.713432,333,364,68,1068,507,149699
2005,30,0.744927,0.670677,328,327,56,990,492,147612
2005,31,0.787049,0.689278,331,326,58,982,488,142468
2005,32,0.684724,0.704929,319,350,57,1023,479,145121
2005,33,0.747361,0.615903,330,326,47,928,480,150673
2005,34,0.673974,0.609426,292,311,54,922,428,151290
2005,35,0.869662,0.680259,342,367,51,1033,420,151854
2005,36,0.899529,0.775488,338,396,63,1061,416,136817
2005,37,0.854635,0.683421,302,383,52,1026,408,150127
2005,38,1.01123,0.781075,368,516,50,1219,419,156067
2005,39,0.977808,0.806943,381,484,63,1204,447,149205
2005,40,1.17778,1.07635,1172,1256,234,3586,1113,333164
2005,41,1.21947,1.05869,1285,1247,197,3582,1160,338343
2005,42,1.3069,1.11523,1393,1525,212,4122,1216,369609
2005,43,1.33931,1.12381,1439,1599,213,4248,1237,377999
2005,44,1.58374,1.25489,1639,1894,282,5005,1280,398840
2005,45,1.47072,1.33661,1563,1929,295,5038,1272,376924
2005,46,1.6112,1.37864,1679,1951,315,5276,1277,382697
2005,47,1.82699,1.60829,1666,1593,294,4802,1301,298578
2005,48,1.77482,1.48311,1858,2176,349,5966,1325,402264
2005,49,1.94451,1.65374,1987,2463,387,6371,1328,385248
2005,50,2.35512,2.00679,2241,3063,396,7697,1318,383548
2005,51,3.10878,2.56857,2696,3058,530,8577,1287,333921
2005,52,3.28238,3.05278,2678,2561,721,8842,1273,289638
2006,1,2.62914,2.42504,2422,2366,734,8339,1319,343871
2006,2,2.2515,2.00195,2272,2921,534,7882,1339,393716
2006,3,2.35858,2.05869,2249,3150,460,7858,1297,381699
2006,4,2.41881,2.21277,2643,3646,544,9114,1331,411882
2006,5,2.52752,2.3222,2612,4153,498,9551,1320,411291
2006,6,2.64954,2.49279,2754,4593,537,10427,1311,418286
2006,7,3.12935,2.79489,2624,4979,631,11226,1288,401661
